"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.301","B","","","3"
"2009","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.300","B","","","3"
"2010","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.308","B","","","3"
"2011","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.303","B","","","3"
"2012","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.300","B","","","3"
"2013","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.306","B","","","3"
"2014","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.294","B","","","3"
"2015","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.314","B","","","3"
"2016","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.302","B","","","3"
"2017","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.309","B","","","3"
"2018","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.298","B","","","3"
"2019","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.302","B","","","3"
"2020","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.270","B","","","3"
"2021","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.282","B","","","3"
"2022","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.283","A","","","3"
"2023","Newfoundland and Labrador","2021A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.292","A","","","3"
"2008","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.263","B","","","3"
"2009","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.254","B","","","3"
"2010","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.258","B","","","3"
"2011","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.265","C","","","3"
"2012","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.257","B","","","3"
"2013","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.285","B","","","3"
"2014","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.276","B","","","3"
"2015","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.282","B","","","3"
"2016","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.278","B","","","3"
"2017","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.287","B","","","3"
"2018","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.286","B","","","3"
"2019","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.266","B","","","3"
"2020","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.257","B","","","3"
"2021","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.252","B","","","3"
"2022","Prince Edward Island","2021A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.254","A","","","3"
