"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","80.5","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","84.5","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","86.5","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","90.2","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","91.3","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","93.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","96.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","97.9","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","98.9","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","100.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","100.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","101.4","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","104.3","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","104.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","109.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789036","2.1.9","112.9","","","","1"
"2008","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","81.1","","","","1"
"2009","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","83.1","","","","1"
"2010","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","85.5","","","","1"
"2011","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","87.2","","","","1"
"2012","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","89.7","","","","1"
"2013","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","93.7","","","","1"
"2014","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","95.0","","","","1"
"2015","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","96.8","","","","1"
"2016","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","97.1","","","","1"
"2017","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","100.0","","","","1"
"2018","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","101.0","","","","1"
"2019","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","103.7","","","","1"
"2020","Prince Edward Island","2016A000211","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789109","3.1.9","107.7","","","","1"
