"REF_DATE","GEO","DGUID","Income concept","Economic family type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","58600","A","","","0"
"2009","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","61400","A","","","0"
"2010","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","60100","B","","","0"
"2011","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","60500","B","","","0"
"2012","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","63000","B","","","0"
"2013","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","68400","B","","","0"
"2014","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","69700","B","","","0"
"2015","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","66900","B","","","0"
"2016","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","68800","B","","","0"
"2017","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","65300","B","","","0"
"2018","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","67700","A","","","0"
"2019","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","64100","B","","","0"
"2020","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","68000","B","","","0"
"2021","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","68900","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","65600","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653226","3.3.1.20","65700","A","","","0"
"2008","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","60400","B","","","0"
"2009","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","61800","B","","","0"
"2010","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","60500","B","","","0"
"2011","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","59800","B","","","0"
"2012","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","61900","B","","","0"
"2013","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","62300","B","","","0"
"2014","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","61800","B","","","0"
"2015","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","63800","B","","","0"
"2016","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","61000","B","","","0"
"2017","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","59900","A","","","0"
"2018","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","64500","A","","","0"
"2019","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","65600","B","","","0"
"2020","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","68200","A","","","0"
"2021","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","69300","B","","","0"
"2022","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","65700","A","","","0"
"2023","Prince Edward Island","2021A000211","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653406","4.3.1.20","64500","A","","","0"
"2008","Nova Scotia","2021A000212","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653586","5.3.1.20","56900","B","","","0"
"2009","Nova Scotia","2021A000212","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653586","5.3.1.20","57900","B","","","0"
"2010","Nova Scotia","2021A000212","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653586","5.3.1.20","58300","A","","","0"
"2011","Nova Scotia","2021A000212","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653586","5.3.1.20","60200","A","","","0"
"2012","Nova Scotia","2021A000212","After-tax income","Economic families and persons not in an economic family","Median income","2023 constant dollars","449","units","0","v107653586","5.3.1.20","59500","B","","","0"
