year,province,general_public_services_701,gps_7011,foreign_economic_aid_7012,general_services_7013,basic_esearch_7014,public_debt_transactions_7017,gps_nec_7015_16_18,defence_702,military_defence_7021,civil_defence_7022,foreign_military_aid_7023,defence_nec_7024_25,public_order_and_safety_703,police_services_7031,fire_protection_services_7032,law_courts_7033,prisons_7034,pos_nec_7035_36,economic_affairs_704,general_ecl_affairs_7041,agri_fore_fish_hunt_7042,fuel_and_energy_7043,mining_manu_construction_7044,transport_7045,economic_affairs_nec_7046to7049,environmental_protection_705,waste_management_7051,waster_water_management_7052,pollution_abatement_7053,protection_of_bandl_7054,envir_protection_nec_7055_56,housing_and_commu_amenities_706,h_and_c_development_7061_62,water_supply_7063,street_lighting_7064,h_and_c_ammenities_nec_7065_66,health_707,med_pae_7071,outpatient_services_7072,hospital_services_7073,public_health_services_7074,health_nec_7075_76,rcr_708,r_and_sporting_services_7081,cultural_services_7082,b_and_p_services_7083,rcr_nec_7084to7086,education_709,primary_and_secondary_edu_7092,college_education_7093,university_education_7094,education_nec_7095to7098,social_protection_710,sickness_and_disability_7101_03,old_age_7102,family_and_children_7104,unemployement_7105,housing_7106,social_exclusion_7107,social_protection_nec_7108_09,Gini_coefficient,Unemployment_rate,Median_after_tax_income,GDP,CPI,CPI_govt_exp
2008,Alberta,2692,502,0,1618,0,102,471,0,0,0,0,0,2120,820,416,366,184,333,6062,584,1480,1644,1,2148,205,1205,337,389,154,212,113,1097,643,325,63,67,13021,640,2037,9205,627,513,1680,922,470,32,256,9241,5649,1427,2020,145,5202,2356,461,939,154,697,479,116,.30899999,3.8,83000,296229,121.6,82.800003
2009,Alberta,2800,524,0,1683,0,124,469,0,0,0,0,0,2220,858,435,379,199,350,6374,609,1374,2105,2,2114,170,1262,350,413,174,199,125,1081,622,333,69,56,14168,691,2058,10088,687,645,1414,697,428,22,267,10010,6092,1154,2512,252,5056,2227,461,981,252,581,431,122,.31999999,6.8000002,82500,245843,121.5,85.400002
2010,Alberta,2855,561,0,1721,0,145,427,0,0,0,0,0,2312,890,461,395,190,377,6313,685,929,2343,0,2215,140,1245,363,434,151,179,118,1084,589,356,76,63,15189,710,2157,10639,705,977,1458,728,431,16,283,10229,6440,1162,2491,136,5600,2678,491,1092,260,407,480,191,.31999999,6.5999999,80800,270203,122.7,86.900002
2011,Alberta,3049,623,0,1853,0,108,465,0,0,0,0,0,2487,964,532,425,199,367,5880,701,869,1920,0,2300,89,1478,387,453,211,333,94,954,456,375,77,46,16187,721,2291,11399,726,1049,1487,763,409,17,299,11022,7098,1174,2608,142,5604,2786,503,1147,222,377,431,138,.32600001,5.5999999,80800,299689,125.7,89.599998
2012,Alberta,3203,741,0,1920,0,77,465,0,0,0,0,0,2579,1024,513,468,225,349,6536,760,1157,2004,1,2396,217,1630,399,461,300,355,114,934,409,386,80,59,17159,723,2349,12318,765,1004,1536,779,420,24,314,11528,7381,1254,2757,136,5803,3332,336,1183,211,187,416,139,.308,4.6999998,86300,312707,127.1,92
2013,Alberta,3498,803,0,2080,0,40,575,0,0,0,0,0,2758,1115,572,472,246,352,6766,709,845,2428,0,2552,232,1579,445,518,340,164,111,1015,433,436,87,58,18189,724,2295,13386,765,1019,1646,870,400,24,352,11719,7606,1237,2746,130,6625,3323,334,996,201,316,341,1113,.308,4.5999999,88400,342646,128.89999,93.800003
2014,Alberta,2981,806,0,1356,0,64,756,0,0,0,0,0,2857,1144,581,484,256,392,7314,858,1009,2492,0,2729,224,1612,457,530,252,212,162,1053,442,467,86,59,19115,744,2341,14023,706,1301,1700,890,424,27,360,12130,7869,1296,2823,142,5994,3236,378,1224,180,354,363,260,.317,4.8000002,89800,376807,132.2,96.800003
2015,Alberta,3832,782,0,2113,0,65,872,0,0,0,0,0,2940,1193,613,501,265,368,7565,936,1089,2458,0,2765,316,1935,443,537,332,436,187,1230,525,550,84,70,20145,800,2287,14891,742,1425,1730,935,431,44,319,12501,8164,1306,2900,131,6284,3481,386,1210,251,327,443,185,.322,6.0999999,90900,324054,133.7,98.800003
2016,Alberta,4105,1026,0,1898,0,154,1027,0,0,0,0,0,3379,1262,789,477,274,576,8691,870,1275,3286,0,2950,309,2738,495,533,1270,328,112,1252,394,701,83,74,20821,810,2428,15274,798,1510,1898,1121,436,40,301,12956,8486,1360,2993,117,6947,3536,407,1698,332,476,447,49,.296,8.1999998,87000,304294,135.2,99.300003
2017,Alberta,4754,1168,0,1884,0,238,1464,0,0,0,0,0,3030,1218,747,475,277,313,9269,854,1191,3757,0,3140,326,1715,517,497,190,297,214,1227,383,681,83,81,21364,919,2317,15813,830,1485,1967,1146,489,45,287,13302,8689,1396,3100,117,7524,3716,398,1875,356,467,610,102,.294,8,86400,332256,137.3,100
