"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","13.3","","","","1"
"2009","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","15.8","","","","1"
"2010","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","14.9","","","","1"
"2011","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","13.1","","","","1"
"2012","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","12.7","","","","1"
"2013","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","11.9","","","","1"
"2014","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","12.4","","","","1"
"2015","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","13.1","","","","1"
"2016","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","13.7","","","","1"
"2017","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","15.2","","","","1"
"2018","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","14.0","","","","1"
"2019","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","12.2","","","","1"
"2020","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","14.3","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","13.0","","","","1"
"2022","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","11.3","","","","1"
"2023","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","9.9","","","","1"
"2024","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063542596","2.8.1.1","10.0","","","","1"
"2008","Prince Edward Island","2021A000211","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063543388","3.8.1.1","11.2","","","","1"
"2009","Prince Edward Island","2021A000211","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063543388","3.8.1.1","12.0","","","","1"
"2010","Prince Edward Island","2021A000211","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063543388","3.8.1.1","11.5","","","","1"
